finess;finess_geo;region;rs_finess;score_satisfaction;taux_reco_brut;type_enquete
710976705;710978313;Bourgogne-Franche-Comté;SYNDICAT INTERHOSPITALIER DE MONTCEAU-LES-MINES;71.17;43.0;MCO_48H
710978347;710978347;Bourgogne-Franche-Comté;FONDATION HOTEL DIEU DU CREUSOT;69.04;36.9;MCO_48H
720000025;720000033;Pays de la Loire;CENTRE HOSPITALIER DU MANS;73.15;59.6;MCO_48H
720000066;720000124;Pays de la Loire;CENTRE HOSPITALIER CHATEAU DU LOIR;;;MCO_48H
720000199;720000199;Pays de la Loire;CLINIQUE DU PRE;76.54;64.9;MCO_48H
720000231;720000231;Pays de la Loire;CLINIQUE DU TERTRE ROUGE - POLE SANTE SUD;69.31;43.9;MCO_48H
720000249;720000249;Pays de la Loire;CLINIQUE MEDICALE VICTOR HUGO;76.98;71.4;MCO_48H
610780082;720000470;Pays de la Loire;CENTRE HOSPITALIER INTERCOMMUNAL - ALENCON-MAMERS;;;MCO_48H
720000140;720000520;Pays de la Loire;CENTRE HOSPITALIER DE ST CALAIS;;;MCO_48H
720006022;720001437;Pays de la Loire;CENTRE HOSPITALIER LA FERTE BERNARD;;;MCO_48H
720016724;720016179;Pays de la Loire;CENTRE HOSPITALIER INTERCOMMUNAL;;;MCO_48H
720017748;720017748;Pays de la Loire;CENTRE MEDICO CHIRUGICAL DU MANS SITE DU POLE SANTE SUD;74.67;55.2;MCO_48H
730000015;730000031;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER METROPOLE SAVOIE;75.29;63.7;MCO_48H
730002839;730000049;Auvergne-Rhône-Alpes;CH  ALBERTVILLE MOUTIERS;;;MCO_48H
730780103;730000080;Auvergne-Rhône-Alpes;CH DE ST JEAN DE MAURIENNE;74.18;61.2;MCO_48H
730000015;730000098;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER METROPOLE SAVOIE;73.05;43.9;MCO_48H
730780525;730000247;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER DE BOURG ST MAURICE;71.99;54.1;MCO_48H
730002839;730000262;Auvergne-Rhône-Alpes;CH  ALBERTVILLE MOUTIERS;70.77;44.1;MCO_48H
730004298;730004298;Auvergne-Rhône-Alpes;HOPITAL PRIVE MEDIPOLE DE SAVOIE;78.9;69.6;MCO_48H
730012499;730012499;Auvergne-Rhône-Alpes;GCS CLINIQUE HERBERT;;;MCO_48H
730000015;730783644;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER METROPOLE SAVOIE;82.87;61.9;MCO_48H
740781133;740000237;Auvergne-Rhône-Alpes;CH ANNECY-GENEVOIS;72.83;53.2;MCO_48H
740781208;740000294;Auvergne-Rhône-Alpes;CH GABRIEL DEPLANTE;;;MCO_48H
740781133;740000302;Auvergne-Rhône-Alpes;CH ANNECY-GENEVOIS;72.66;37.7;MCO_48H
740790381;740000328;Auvergne-Rhône-Alpes;CHI LES HOPITAUX DU LEMAN;71.44;44.0;MCO_48H
740014345;740014345;Auvergne-Rhône-Alpes;HOPITAL PRIVE PAYS DE SAVOIE;74.57;55.2;MCO_48H
740780416;740780416;Auvergne-Rhône-Alpes;CLINIQUE D'ARGONAY;77.61;63.2;MCO_48H
740780424;740780424;Auvergne-Rhône-Alpes;CLINIQUE GENERALE ANNECY;74.78;66.0;MCO_48H
740790258;740781141;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER ALPES LEMAN;72.3;45.9;MCO_48H
740001839;740781166;Auvergne-Rhône-Alpes;CHI DES HOPITAUX DU PAYS DU MONT BLANC;;;MCO_48H
740001839;740781224;Auvergne-Rhône-Alpes;CHI DES HOPITAUX DU PAYS DU MONT BLANC;71.66;51.8;MCO_48H
750110025;750000481;Ile de France;CENTRE HOSPITALIER NATIONAL OPHTALMOLOGIE DES QUINZE-VINGTS;;;MCO_48H
750062036;750000499;Ile de France;GHU PARIS PSY ET NEUROSCIENCES;71.88;60.3;MCO_48H
750000523;750000523;Ile de France;GROUPE HOSPITALIER PARIS SAINT-JOSEPH;74.28;66.6;MCO_48H
750000549;750000549;Ile de France;CLINIQUE FONDATION OPTHTALMOLOGIQUE ADOLPHE DE ROTHSCHILD;74.45;65.3;MCO_48H
750712184;750041543;Ile de France;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS (AP-HP);;;MCO_48H
750712184;750100018;Ile de France;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS (AP-HP);;;MCO_48H
