finess;rs_finess;finess_geo;rs_finess_geo;region;participation;Depot;nb_rep_score_all_rea_ajust;score_all_rea_ajust;classement;evolution;nb_rep_score_accueil_rea_ajust;score_accueil_rea_ajust;nb_rep_score_PECinf_rea_ajust;score_PECinf_rea_ajust;nb_rep_score_PECmed_rea_ajust;score_PECmed_rea_ajust;nb_rep_score_chambre_rea_ajust;score_chambre_rea_ajust;nb_rep_score_repas_rea_ajust;score_repas_rea_ajust;nb_rep_score_sortie_rea_ajust;score_sortie_rea_ajust;taux_reco_brut;nb_reco_brut
500000393;CENTRE HOSPITALIER COUTANCES;500000591;CENTRE HOSPITALIER DE COUTANCES;Normandie;1- Obligatoire;1- Oui;31.0;78.18;A;;31.0;77.83;31.0;85.95;31.0;85.43;31.0;76.76;31.0;80.2;31.0;64.21;38.7;31.0
500002357;POLYCLINIQUE DU COTENTIN;500002357;POLYCLINIQUE DU COTENTIN;Normandie;1- Obligatoire;1- Oui;64.0;77.97;A;;64.0;82.14;64.0;82.64;64.0;84.17;64.0;80.54;64.0;57.07;64.0;66.24;67.2;64.0
510000037;CENTRE HOSPITALIER DE CHALONS EN CHAMPAGNE;510000169;CENTRE HOSPITALIER DE CHALONS;Grand Est;1- Obligatoire;1- Oui;59.0;71.62;C;;59.0;69.45;59.0;79.62;59.0;78.14;59.0;68.96;59.0;65.46;59.0;62.76;42.4;59.0
100006279;GROUPEMENT HOSPITALIER AUBE MARNE;510000177;CENTRE HOSPITALIER DE SEZANNE;Grand Est;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
510000185;POLYCLINIQUE DE COURLANCY;510000185;POLYCLINIQUE DE COURLANCY;Grand Est;1- Obligatoire;1- Oui;610.0;73.77;C;;610.0;70.89;610.0;80.64;610.0;81.55;610.0;72.46;610.0;57.82;610.0;67.93;53.5;608.0
510000060;CENTRE HOSPITALIER D'EPERNAY;510000235;CENTRE HOSPITALIER D'EPERNAY;Grand Est;1- Obligatoire;1- Oui;177.0;72.09;C;;177.0;70.26;177.0;79.98;177.0;78.63;177.0;73.77;177.0;64.42;177.0;59.96;52.8;176.0
510000243;CLINIQUE D'EPERNAY;510000243;CLINIQUE D'EPERNAY;Grand Est;1- Obligatoire;1- Oui;66.0;76.69;B;;66.0;76.64;66.0;80.74;66.0;81.32;66.0;77.63;66.0;72.13;66.0;67.05;62.1;66.0
510000078;CENTRE HOSPITALIER DE VITRY LE FRANCOIS;510000250;CENTRE HOSPITALIER VITRY LE FRANCOIS;Grand Est;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
510000516;INSTITUT JEAN GODINOT CENTRE REGIONAL DE LUTTE CONTRE CANCER;510000516;INSTITUT GODINOT;Grand Est;1- Obligatoire;1- Oui;171.0;79.98;A;;171.0;79.45;171.0;86.66;171.0;84.94;171.0;81.12;171.0;65.88;171.0;71.65;78.9;171.0
510000029;CENTRE HOSPITALIER UNIVERSITAIRE DE REIMS;510002447;HOPITAL ROBERT DEBRE CHU REIMS;Grand Est;1- Obligatoire;1- Oui;445.0;72.04;C;;445.0;72.75;445.0;80.44;445.0;78.31;445.0;69.07;445.0;61.1;445.0;61.39;54.8;442.0
510000029;CENTRE HOSPITALIER UNIVERSITAIRE DE REIMS;510002454;HOPITAL SEBASTOPOL CHU REIMS;Grand Est;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
510000029;CENTRE HOSPITALIER UNIVERSITAIRE DE REIMS;510002470;AMERICAN MEMORIAL HOSPITAL CHU REIMS;Grand Est;1- Obligatoire;1- Oui;86.0;73.56;C;;86.0;69.21;86.0;79.46;86.0;79.05;86.0;73.52;86.0;60.09;86.0;69.72;59.3;86.0
510000029;CENTRE HOSPITALIER UNIVERSITAIRE DE REIMS;510004302;HOPITAL MAISON BLANCHE CHU REIMS;Grand Est;1- Obligatoire;1- Oui;505.0;70.96;C;;505.0;67.01;505.0;80.14;505.0;79.19;505.0;65.6;505.0;61.59;505.0;63.54;49.7;505.0
510012040;POLYCLINIQUE DES BLEUETS;510012040;POLYCLINIQUE DES BLEUETS;Grand Est;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
510024979;POLYCLINIQUE DE BEZANNES;510024979;POLYCLINIQUE REIMS - BEZANNES;Grand Est;1- Obligatoire;1- Oui;1685.0;72.09;C;;1685.0;68.97;1685.0;78.06;1685.0;78.58;1685.0;77.68;1685.0;61.66;1685.0;61.34;53.0;1681.0
520780032;CENTRE HOSPITALIER DE CHAUMONT;520000027;CENTRE HOSPITALIER DE CHAUMONT;Grand Est;1- Obligatoire;1- Oui;54.0;69.14;D;;54.0;67.46;54.0;78.95;54.0;74.74;54.0;65.49;54.0;63.26;54.0;59.54;42.6;54.0
520780057;CENTRE HOSPITALIER DE LANGRES;520000043;CENTRE HOSPITALIER DE LANGRES;Grand Est;1- Obligatoire;1- Oui;34.0;70.13;D;;34.0;67.84;34.0;80.94;34.0;76.8;34.0;73.83;34.0;59.02;34.0;54.59;29.4;34.0
